"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-10-08","8.28",,"0.00","0.0","0.0","78","89","70","   40","   60","16.1","21.0",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-10-09","8.28",,"0.00","0.0","0.0","73","80","66","   10","   70","15.0","18.1",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-10-10","7.16",,"0.00","0.0","0.0","71","82","62","   20","   30","16.1","21.0",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-10-11","6.04",,"0.00","0.0","0.0","70","81","60","  110","  100","13.0","18.1",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-10-12","2.68",,"0.00","0.0","0.0","70","86","57","  130","  140","14.1","17.0",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-10-13","6.71",,"0.00","0.0","0.0","74","87","65","  160","  200","15.0","19.0",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-10-14","4.03",,"0.21","0.0","0.0","76","86","69","  340","  310","14.1","19.0","    1",,"    1",
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-10-15","2.24",,"0.97","0.0","0.0","71","73","67","  260","  250","8.1","10.1","    1",,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-10-16","9.17",,"1.67","0.0","0.0","74","84","64","  260","  260","23.9","31.1","    1",,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-10-17","4.47",,"0.00","0.0","0.0","64","73","52","  310","  310","14.1","17.0",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-10-18","7.61",,"0.00","0.0","0.0","62","73","53","   80","   40","14.1","18.1",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-10-19","12.97",,"1.09","0.0","0.0","69","78","64","  110","  110","31.1","42.9","    1",,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-10-20","10.74",,"0.00","0.0","0.0","72","76","62","  250","  250","25.1","30.0",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-10-21","6.49",,"0.00","0.0","0.0","69","84","58","  100","  100","17.0","21.0","    1",,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-10-22","9.17",,"0.00","0.0","0.0","78","88","61","  270","  250","21.0","25.9",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-10-23","4.92",,"0.00","0.0","0.0","65","76","52","   10","  360","15.0","19.0",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-10-24","7.83",,"0.00","0.0","0.0","65","80","55","   80","   80","14.1","18.1",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-10-25","10.07",,"0.00","0.0","0.0","73","83","65","  100","  100","21.0","25.9",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-10-26","9.84",,"0.29","0.0","0.0","75","83","66","  130","  130","23.0","29.1","    1",,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-10-27","6.71",,"0.03","0.0","0.0","79","86","66","  270","  230","15.0","19.0","    1",,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-10-28","2.24",,"0.00","0.0","0.0","73","86","62","  150","  140","10.1","13.0",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-10-29","4.92",,"0.38","0.0","0.0","74","76","71","   80","   50","13.0","16.1","    1",,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-10-30","5.59",,"0.00","0.0","0.0","73","80","68","  100","  100","10.1","13.0","    1",,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-10-31","10.96",,"0.00","0.0","0.0","80","90","57","  310","  300","25.1","33.1","    1",,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-11-01","8.50",,"0.00","0.0","0.0","58","67","43","  300","  300","21.9","28.0",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-11-02","5.37",,"0.00","0.0","0.0","55","69","45","  310","  300","15.0","17.0",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-11-03","6.71",,"0.00","0.0","0.0","55","68","45","   40","   40","16.1","21.0",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-11-04","6.49",,"0.00","0.0","0.0","58","76","47","  100","   90","13.0","18.1",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-11-05","4.92",,"0.19","0.0","0.0","67","78","61","  130","  120","14.1","17.0","    1",,,
